Latitude (generated),Longitude (generated),start_year,Start_month,Gis Acres,Cause
40.91583538,-121.2745771,1981,8,999,14
40.98604719,-123.3123859,1981,6,70,3
41.15420409,-123.8897962,1981,9,8,Prescribed Burn
41.19499004,-123.012266,1981,10,43,3
41.20789206,-122.6101526,1981,9,944,9
41.23530327,-120.284697,1981,9,397,1
41.25165146,-120.2478757,1981,9,515,1
41.27620869,-124.0049455,1981,10,9,Prescribed Burn
41.27895138,-124.0099018,1981,10,0,Prescribed Burn
41.33542025,-120.9022257,1981,7,266,9
41.41317005,-120.4752889,1981,8,1764,14
41.71706224,-124.1452527,1981,9,105,Prescribed Burn
41.72825552,-120.6173579,1981,8,52,1
41.73497848,-123.2218154,1981,7,349,4
41.82423223,-120.8297888,1981,9,85,1
41.93314014,-124.0178043,1981,8,3,4
42.05040448,-122.6584097,1981,8,708,8
32.5640425,-116.8690999,1982,8,65,14
32.56639554,-116.9074969,1982,11,330,14
32.57040075,-116.9005887,1982,10,800,2
32.57283338,-116.8741547,1982,9,100,7
32.58961358,-116.5463945,1982,8,666,4
32.63403148,-116.7378708,1982,10,4950,5
32.64772475,-116.8653331,1982,6,111,9
32.71552398,-116.7021698,1982,8,41,7
32.72358601,-116.2141262,1982,6,4645,9
32.78460858,-116.8520619,1982,9,124,7
32.78563693,-116.8617646,1982,8,71,14
32.83493095,-116.6604719,1982,11,42,2
32.91200128,-117.2189381,1982,10,351,9
32.93408425,-116.4294936,1982,7,154,1
33.08514096,-116.8570296,1982,11,63,9
33.09088416,-116.7547851,1982,10,225,9
33.14314334,-117.1758288,1982,9,39,9
33.15216674,-117.2507373,1982,9,654,14
33.2775512,-116.8416114,1982,9,76,7
33.34163431,-117.1351504,1982,7,42,9
33.37655834,-117.1543263,1982,8,247,9
33.41460739,-117.2997052,1982,7,91,9
33.4388305,-117.4132549,1982,8,121,9
33.44923606,-117.4060056,1982,9,197,9
33.45073476,-117.4059465,1982,9,131,14
33.64705305,-116.9975942,1982,8,1757,2
33.65956218,-117.2770758,1982,9,476,14
33.70505932,-117.0106686,1982,7,186,9
33.70583692,-116.9161741,1982,9,391,Prescribed Burn
33.71902387,-117.2776226,1982,7,295,7
33.76074998,-117.3047229,1982,7,268,2
33.78063577,-117.4894663,1982,7,140,7
33.79804113,-117.2943429,1982,9,573,7
33.81769061,-117.7458733,1982,10,20142,9
33.82942671,-117.5888725,1982,7,267,7
33.83175707,-117.4752364,1982,7,150,3
33.87766624,-116.9298838,1982,8,206,2
